system,topic,score
input.anserini_sdm,t_347,0.0923
input.anserini_sdm,t_350,0.0019
input.anserini_sdm,t_362,0.1576
input.anserini_sdm,t_363,0.1802
input.anserini_sdm,t_367,0.0773
input.anserini_sdm,t_375,0.4307
input.anserini_sdm,t_378,0.1343
input.anserini_sdm,t_393,0.0353
input.anserini_sdm,t_397,0.0991
input.anserini_sdm,t_400,0.0811
input.anserini_sdm,t_408,0.0525
input.anserini_sdm,t_414,0.1865
input.anserini_sdm,t_422,0.2506
input.anserini_sdm,t_426,0.1682
input.anserini_sdm,t_427,0.0395
input.anserini_sdm,t_433,0.0833
input.anserini_sdm,t_439,0.0197
input.anserini_sdm,t_442,0.0913
input.anserini_sdm,t_445,0.2511
input.anserini_sdm,t_626,0.2638
input.anserini_sdm,t_646,0.1147
input.anserini_sdm,t_690,0.0045
input.anserini_sdm,t_801,0.1172
input.anserini_sdm,t_802,0.5197
input.anserini_sdm,t_803,0.2591
input.anserini_sdm,t_804,0.1732
input.anserini_sdm,t_805,0.128
input.anserini_sdm,t_806,0.5081
input.anserini_sdm,t_807,0.8476
input.anserini_sdm,t_808,0.107
input.anserini_sdm,t_809,0.569
input.anserini_sdm,t_810,0.234
input.anserini_sdm,t_811,0.5372
input.anserini_sdm,t_812,0.1872
input.anserini_sdm,t_813,0.1056
input.anserini_sdm,t_814,0.5588
input.anserini_sdm,t_815,0.3204
input.anserini_sdm,t_816,0.1252
input.anserini_sdm,t_817,0.4281
input.anserini_sdm,t_818,0.5159
input.anserini_sdm,t_819,0.0865
input.anserini_sdm,t_820,0.1883
input.anserini_sdm,t_821,0.2493
input.anserini_sdm,t_822,0.2175
input.anserini_sdm,t_823,0.3317
input.anserini_sdm,t_824,0.376
input.anserini_sdm,t_825,0.4565
input.b-BoW,t_321,0.2267
input.b-BoW,t_336,0.4745
input.b-BoW,t_341,0.2245
input.b-BoW,t_347,0.0781
input.b-BoW,t_350,0.0023
input.b-BoW,t_362,0.1219
input.b-BoW,t_363,0.2894
input.b-BoW,t_367,0.0972
input.b-BoW,t_375,0.3849
input.b-BoW,t_378,0.1314
input.b-BoW,t_393,0.0058
input.b-BoW,t_397,0.1623
input.b-BoW,t_400,0.1195
input.b-BoW,t_408,0.0404
input.b-BoW,t_414,0.1258
input.b-BoW,t_422,0.103
input.b-BoW,t_426,0.1359
input.b-BoW,t_427,0.0438
input.b-BoW,t_433,0.1255
input.b-BoW,t_439,0.0206
input.b-BoW,t_442,0.0487
input.b-BoW,t_445,0.2625
input.b-BoW,t_626,0.3184
input.b-BoW,t_646,0.1097
input.b-BoW,t_690,0.0105
input.b-BoW,t_801,0.101
input.b-BoW,t_802,0.7059
input.b-BoW,t_803,0.2449
input.b-BoW,t_804,0.0852
input.b-BoW,t_805,0.129
input.b-BoW,t_806,0.4746
input.b-BoW,t_807,0.8102
input.b-BoW,t_808,0.07
input.b-BoW,t_809,0.4714
input.b-BoW,t_810,0.3479
input.b-BoW,t_811,0.5339
input.b-BoW,t_812,0.1958
input.b-BoW,t_813,0.0851
input.b-BoW,t_814,0.3648
input.b-BoW,t_815,0.3698
input.b-BoW,t_816,0.131
input.b-BoW,t_817,0.4544
input.b-BoW,t_818,0.4004
input.b-BoW,t_819,0.143
input.b-BoW,t_820,0.2116
input.b-BoW,t_821,0.2
input.b-BoW,t_822,0.2343
input.b-BoW,t_823,0.3594
input.b-BoW,t_824,0.4842
input.b-BoW,t_825,0.5288
input.b-BoWBoE-t-BoE,t_321,0.2409
input.b-BoWBoE-t-BoE,t_336,0.5524
input.b-BoWBoE-t-BoE,t_341,0.2394
input.b-BoWBoE-t-BoE,t_347,0.0764
input.b-BoWBoE-t-BoE,t_350,0.0023
input.b-BoWBoE-t-BoE,t_362,0.135
input.b-BoWBoE-t-BoE,t_363,0.2872
input.b-BoWBoE-t-BoE,t_367,0.127
input.b-BoWBoE-t-BoE,t_375,0.4767
input.b-BoWBoE-t-BoE,t_378,0.1382
input.b-BoWBoE-t-BoE,t_393,0.0107
input.b-BoWBoE-t-BoE,t_397,0.1831
input.b-BoWBoE-t-BoE,t_400,0.1308
input.b-BoWBoE-t-BoE,t_408,0.0368
input.b-BoWBoE-t-BoE,t_414,0.0915
input.b-BoWBoE-t-BoE,t_422,0.1
input.b-BoWBoE-t-BoE,t_426,0.1806
input.b-BoWBoE-t-BoE,t_427,0.0404
input.b-BoWBoE-t-BoE,t_433,0.1494
input.b-BoWBoE-t-BoE,t_439,0.0213
input.b-BoWBoE-t-BoE,t_442,0.0486
input.b-BoWBoE-t-BoE,t_445,0.2846
input.b-BoWBoE-t-BoE,t_626,0.3319
input.b-BoWBoE-t-BoE,t_646,0.1027
input.b-BoWBoE-t-BoE,t_690,0.0109
input.b-BoWBoE-t-BoE,t_801,0.0959
input.b-BoWBoE-t-BoE,t_802,0.5382
input.b-BoWBoE-t-BoE,t_803,0.2386
input.b-BoWBoE-t-BoE,t_804,0.1112
input.b-BoWBoE-t-BoE,t_805,0.1567
input.b-BoWBoE-t-BoE,t_806,0.5603
input.b-BoWBoE-t-BoE,t_807,0.8393
input.b-BoWBoE-t-BoE,t_808,0.0785
input.b-BoWBoE-t-BoE,t_809,0.4771
input.b-BoWBoE-t-BoE,t_810,0.1787
input.b-BoWBoE-t-BoE,t_811,0.5909
input.b-BoWBoE-t-BoE,t_812,0.2089
input.b-BoWBoE-t-BoE,t_813,0.121
input.b-BoWBoE-t-BoE,t_814,0.4502
